,Soil layer,Soil depth cm,Pinuscontorta_10yrsSeedling,BigSagebrushEcosystem_cm,Shortgrass_JBB_cm,Shortgrass3,ShortgrassSteppe_MeanOf_Liang1989Singh1998_cm,ShortgrassSteppe_MeanOf_Liang1989Singh1998_WeightedByShrub_cm,FILL,C3_John,C4_John,Annuals_John,SchenkJackson2003_PCdry_shrubs,SchenkJackson2003_PCdry_grasses,SchenkJackson2003_PCdry_forbs,Jacksonetal1996_crops,Bradfordetal2014_LodgepolePine
LayerORDepthCM,Layer,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM
Source,,,"Nadeau LB, Pluth DJ (1997) Canadian Journal of Forest Research, 27, 1606-1613.",,"Bradford JB, Lauenroth WK (2006) Journal of Vegetation Science, 17, 693-704.",Dave Smith Thesis (2003),,,,,,,,,,,Bradford et al. (2014) Ecosystems 17:590–605
,,30,0.006020819,0.017428202,0.0226,0.014,0.011287464,0.011688716,0.005,0.0125,0.016849537,0.0125,0.0116476981,0.0124445066,0.0124445066,0.0123039016,0.00602
,,31,0.006020819,0.010957611,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0125,0.009190117,0.0125,0.0113843976,0.0120024951,0.0120024951,0.0118240494,0.00602
,,32,0.006020819,0.010957611,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0125,0.009190117,0.0125,0.0111270491,0.0115761833,0.0115761833,0.0113629115,0.00602
,,33,0.006020819,0.010957611,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0125,0.009190117,0.0125,0.0108755181,0.0111650135,0.0111650135,0.010919758,0.00602
,,34,0.006020819,0.010957611,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0125,0.009190117,0.0125,0.010629673,0.0107684478,0.0107684478,0.0104938874,0.00602
,,35,0.006020819,0.010957611,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0125,0.009190117,0.0125,0.0103893854,0.0103859676,0.0103859676,0.0100846258,0.00602
,,36,0.006020819,0.010957611,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0125,0.009190117,0.0125,0.0101545295,0.0100170725,0.0100170725,0.0096913254,0.00602
,,37,0.006020819,0.010957611,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0125,0.009190117,0.0125,0.0099249827,0.0096612801,0.0096612801,0.0093133637,0.00602
,,38,0.006020819,0.010957611,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0125,0.009190117,0.0125,0.0097006248,0.009318125,0.009318125,0.0089501425,0.00602
,,39,0.006020819,0.010957611,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0125,0.009190117,0.0125,0.0094813386,0.0089871582,0.0089871582,0.008601087,0.00602
,,40,0.006020819,0.010957611,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0125,0.009190117,0.0125,0.0092670095,0.0086679469,0.0086679469,0.0082656446,0.00602
,,41,0.006020819,0.008919208,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0075,0.002980377,0.0075,0.0090575254,0.0083600736,0.0083600736,0.0079432844,0.00602
,,42,0.006020819,0.008919208,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0075,0.002980377,0.0075,0.0088527767,0.0080631354,0.0080631354,0.0076334963,0.00602
,,43,0.006020819,0.008919208,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0075,0.002980377,0.0075,0.0086526564,0.0077767442,0.0077767442,0.00733579,0.00602
,,44,0.006020819,0.008919208,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0075,0.002980377,0.0075,0.00845706,0.0075005251,0.0075005251,0.0070496942,0.00602
,,45,0.006020819,0.008919208,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0075,0.002980377,0.0075,0.008265885,0.0072341169,0.0072341169,0.0067747561,0.00602
,,46,0.006020819,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.0080790317,0.0069771712,0.0069771712,0.0065105406,0.00468
,,47,0.006020819,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.0078964022,0.0067293518,0.0067293518,0.0062566295,0.00468
,,48,0.006020819,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.0077179011,0.0064903347,0.0064903347,0.006012621,0.00468
,,49,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.0075434351,0.0062598071,0.0062598071,0.0057781288,0.00468
,,50,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.007372913,0.0060374675,0.0060374675,0.0055527817,0.00468
,,51,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.0072062456,0.0058230251,0.0058230251,0.0053362232,0.00267
,,52,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.0070433458,0.0056161994,0.0056161994,0.0051281105,0.00267
,,53,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.0068841284,0.0054167198,0.0054167198,0.0049281142,0.00267
,,54,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.0067285102,0.0052243255,0.0052243255,0.0047359178,0.00267
,,55,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.0065764097,0.0050387648,0.0050387648,0.004551217,0.00267
,,56,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.0064277476,0.0048597949,0.0048597949,0.0043737195,0.00267
,,57,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.006282446,0.0046871818,0.0046871818,0.0042031445,0.00267
,,58,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.006140429,0.0045206996,0.0045206996,0.0040392218,0.00267
,,59,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.0060016223,0.0043601307,0.0043601307,0.0038816922,0.00267
,,60,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.0058659535,0.004205265,0.004205265,0.0037303062,0.00267
,,61,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.0057333514,0.0040558998,0.0040558998,0.0035848242,
,,62,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.0056037469,0.0039118399,0.0039118399,0.0034450161,
,,63,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.0054770722,0.0037728969,0.0037728969,0.0033106605,
,,64,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.005353261,0.0036388888,0.0036388888,0.0031815447,
,,65,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.0052322485,0.0035096406,0.0035096406,0.0030574645,
,,66,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.0051139716,0.0033849831,0.0033849831,0.0029382233,
,,67,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.0049983684,0.0032647532,0.0032647532,0.0028236326,
,,68,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.0048853785,0.0031487937,0.0031487937,0.002713511,
,,69,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.0047749427,0.003036953,0.003036953,0.002607684,
,,70,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.0046670034,0.0029290847,0.0029290847,0.0025059844,
,,71,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.0045615041,0.0028250477,0.0028250477,0.002408251,
,,72,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.0044583896,0.0027247059,0.0027247059,0.0023143292,
,,73,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.0043576061,0.0026279282,0.0026279282,0.0022240703,
,,74,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.0042591008,0.0025345879,0.0025345879,0.0021373316,
,,75,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.0041628223,0.0024445628,0.0024445628,0.0020539757,
,,76,0.002666061,0.00504449,,0.001333333,0.002319047,0.001831562,0.005,0.005,0.001238582,0.005,0.0040687201,0.0023577354,0.0023577354,0.0019738706,
,,77,0.002666061,0.00504449,,0.001333333,0.002319047,0.001831562,0.005,0.005,0.001238582,0.005,0.0039767452,0.0022739919,0.0022739919,0.0018968897,
,,78,0.002666061,0.00504449,,0.001333333,0.002319047,0.001831562,0.005,0.005,0.001238582,0.005,0.0038868494,0.0021932229,0.0021932229,0.001822911,
,,79,0.002666061,0.00504449,,0.001333333,0.002319047,0.001831562,0.005,0.005,0.001238582,0.005,0.0037989858,0.0021153227,0.0021153227,0.0017518174,
,,80,0.002666061,0.00504449,,0.001333333,0.002319047,0.001831562,0.005,0.005,0.001238582,0.005,0.0037131083,0.0020401894,0.0020401894,0.0016834966,
,,81,0.002666061,0.000871862,,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.0036291722,0.0019677247,0.0019677247,0.0016178402,
,,82,0.002666061,0.000871862,,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.0035471334,0.0018978339,0.0018978339,0.0015547444,
